"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","BuccalWall",325.104355,15540.33265,177.066737,3389146.691,390.520712,390.928403,85.217076,86.30524417,4.585323,3.166608,241.880248,1.698256,-59.151003,4.9425,41.12463807,279.5711001,-0.024782,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",325.634919,15242.25106,177.768595,3399249.192,388.992898,389.941487,85.427632,86.53565539,4.484005,6.601943,254.63431,1.578072,-59.131503,4.9365,38.12568819,259.1838151,-0.069342,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",336.266691,14778.81454,178.523447,3604685.092,400.500237,398.354395,83.309864,84.22234075,4.099891,2.966312,256.176168,1.717468,-59.113503,4.9295,35.28637189,239.8817417,-0.070133,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",329.631982,15472.61649,179.448726,3475814.401,395.12518,394.299269,85.279946,86.37403318,4.451508,2.387809,243.445012,1.749582,-59.094503,4.9225,32.30833582,219.6366317,-0.03791,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",322.429384,14172.71699,143.995976,3338429.062,401.85736,396.247681,69.825509,69.70631314,4.245325,14.191363,258.281216,1.401751,-59.075003,4.9165,29.3092744,199.2485885,-0.053884,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",327.219032,14907.83439,178.011676,3429496.944,390.232242,390.028821,85.166364,86.24976374,4.346945,2.481641,243.853786,1.745449,-59.057003,4.9095,26.47006098,179.9472145,-0.068474,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",327.629511,15402.98745,178.59537,3437355.486,391.607728,392.313386,85.347892,86.44838523,4.481057,1.434971,234.219996,1.83307,-59.037503,4.903,23.44672738,159.3941655,-0.054381,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",326.665234,15525.45249,178.266593,3418908.079,391.817512,391.983639,85.420298,86.52762827,4.541056,1.808996,235.810436,1.793214,-59.019003,4.896,20.53823312,139.6218106,-0.046515,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",335.211158,15275.02294,179.967723,3584034.134,399.466287,398.868501,84.225458,85.22134549,4.261964,1.350537,242.139096,1.846559,-58.999503,4.8905,17.56355661,119.3995394,-0.077114,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",327.750768,15542.1463,178.011042,3439678.565,392.916214,393.233278,85.03992,86.11145334,4.518488,2.699349,242.508023,1.726323,-58.981003,4.8825,14.60657089,99.2975327,-0.04548,"Macaca mulatta","Macaca"
